username,id,access_hash
,8108825406,-8976481049558177210
,8143649515,1596980905494702591
,8148542153,-8926092390306948269
,8180445175,4666554553940402842
,8305354683,-7214763254111709766
,8317920980,5271960441380947096
,8354858634,-3379582804389885262
,8423853261,8049585714304305674
,8425016357,-7270864868286612133
,8448223127,500680577551477451
,8490585906,-9004644172879002312
,8519301030,-7052311902296292234
,8528167772,1738641929247275957
Shoh3737,1282416099,5279998554787491540
,5185006486,-3415055259322495854
,5364013492,7881157859863310570
,5671409254,6787992547637400968
,5894042657,8635571579581962133
,6131480452,6261936151311220018
,6263647233,4668325693593011360
Munisaxonim1992,6470882930,5511727894242968333
,6487973015,-1693219928572220594
,6562897578,-3257408949352022175
,7029527457,-5764618154616032542
,7414735774,5004485634828666320
Aktivlik01,7709308884,2706546360324621352
,7808573331,7281990906540537958
,8142323060,9201379988798096656
,8271135296,4631790389310786451
,8315307593,-4505362255028472068
,8395900861,-4375325202846430283
,8405361044,-5348482554820010740
,8574963906,-2117444372784295000
,8583721430,7746722410932793466
,8748512318,-3974554195942775394
,8760302597,-8402913423654513591
,8787395519,-3382750865308728787
,8722674454,-1901727826144310080
,7846575189,4134499048066617938
,5534806983,-1094000075872070878
,6072652580,-4556606461724849284
,7687738547,8342193115503157812
,7249359362,-790970133600119556
takoy_open_n1,7225908036,-362848149397236351
Qizgaldoqlarim,6747535793,8615122891322450790
Mamatmirzayevanilyfar,8507262614,5324172096208936223
Lagist2504,8554000230,-3193573123189405799
,639784803,-1806155891861641565
Baxtigulustoz,827514041,6037995537139631933
,6213667734,-6365433778818280140
,6232984145,-743471547860408707
,6324750733,-6801780501022281812
ikrmvvs,6762339796,-3444667704493444136
,7200800412,8587496383895460995
,7231291743,5561268036620312023
,7471090599,3291234089204719095
,7733767415,-8143784856195618036
,7895564630,8610509950957808540
saidvnss,8020667241,3708739215464955874
,8124791078,-1186013338488995063
matlubaernazarova,1820418641,-4488112601791928219
,7307601054,1772952061135636891
,8392814972,-276854848532808795
,668571378,-6324097164592455050
,1218276416,-7189329983139825450
sherzod_Tesol,1441728614,3819583316353878560
STTB_BB,1763494098,1501201869035841944
Otabek_03_2011,5070603930,1621684957600139006
,5220778817,5524208962569725542
ok_r_e_2,5473486082,5184222486484548786
,5614479216,5371081026715185933
,5688084082,-2519210773200903968
,5924565536,5000615341506195285
,5497975687,99920100626230313
,7489492463,-4343512757832670754
,5630419737,2823166513741302900
,6286289523,6469317248708781398
,6301941090,-7847997881483563421
mustafo5710,7482757913,-816340566163352029
